City,Country,Region,Category,Climate,Best_Month,Attractions,Cuisine_Name,Flavor_Profile,Hotel_Name,Star_Rating,Price_Per_Night,Amenities,Weather_Type,Average_Temperature,Budget_Range,Activities
Udaipur,India,South Asia,heritage,Moderate,December,Udaipur Landmark 2; Udaipur Landmark 1; Lake Pichola; City Palace Udaipur; Jagdish Temple,Laal Maas,Spicy,Taj Lake Palace,4,91,Beach Access; Pool; Parking; Bar,Sunny,25.8,$300–$655,hiking; skiing
Kolkata,India,South Asia,city,Moderate,November,Howrah Bridge; Victoria Memorial; Kolkata Landmark 2; Kolkata Landmark 1; Dakshineswar,Macher Jhol,Savory,The Lalit Great Eastern,4,110,Parking; Bar; Airport Shuttle,Rainy,33.0,$363–$792,relaxation; hiking; shopping; skiing
Leh-Ladakh,India,South Asia,mountain,Cold,Summer,Leh-Ladakh Landmark 1; Nubra Valley; Pangong Lake; Leh-Ladakh Landmark 2; Thiksey Monastery,Tibetan Thenthuk,Savory,The Grand Dragon,3,116,Breakfast Included; Spa; Pool; Bar; Restaurant; Pet Friendly,Snowy,2.3,$1148–$2505,relaxation; water-sports; culture
Cape Town,South Africa,Africa,city,Moderate,December,Cape Town Landmark 1; V&A Waterfront; Cape Town Landmark 2; Table Mountain; Robben Island,Bobotie,Savory,The Silo Hotel,4,345,Parking; Airport Shuttle; Bar,Windy,15.1,$3795–$8280,culture; photography
Paris,France,Europe,city,Moderate,September,Paris Landmark 2; Eiffel Tower; Louvre Museum; Paris Landmark 1; Notre-Dame,Croissant,Sweet,Le Meurice,4,359,Pet Friendly; Breakfast Included; Bar; Beach Access; Spa; Conference Rooms,Snowy,13.0,$1974–$4308,water-sports
Pondicherry,India,South Asia,beach,Moderate,November,French Quarter; Auroville; Pondicherry Landmark 1; Promenade Beach; Pondicherry Landmark 2,Seafood Thali,Savory,Baylight,5,51,Parking; Kids Club; WiFi; Conference Rooms; Airport Shuttle,Rainy,32.5,$504–$1101,spirituality
Amsterdam,Netherlands,Europe,city,Moderate,May,Amsterdam Landmark 2; Amsterdam Landmark 1; Rijksmuseum; Canals; Van Gogh Museum,Stroopwafel,Sweet,Ambassade Hotel,3,117,Conference Rooms; WiFi; Spa; Restaurant; Parking,Windy,12.6,$643–$1404,adventure
Lisbon,Portugal,South America,city,Moderate,Monsoon,Belém Tower; Lisbon Landmark 2; Jerónimos Monastery; Alfama; Lisbon Landmark 1,Pastel de Nata,Sweet,Four Seasons Lisbon,4,232,Spa; Conference Rooms; Airport Shuttle,Rainy,24.1,$1020–$2227,wildlife; food; historic tours
Cairo,Egypt,Africa,heritage,Hot,October,Khan el-Khalili; Egyptian Museum; Cairo Landmark 2; Pyramids of Giza; Cairo Landmark 1,Koshari,Savory,Sofitel Cairo,3,189,WiFi; Pool; Kids Club; Parking; Beach Access,Humid,32.0,$1871–$4082,historic tours; hiking
Toronto,Canada,North America,city,Moderate,September,CN Tower; Toronto Islands; Toronto Landmark 2; Toronto Landmark 1; Royal Ontario Museum,Peameal Bacon Sandwich,Savory,The St. Regis Toronto,3,220,Restaurant; Spa; Beach Access; Pet Friendly,Snowy,11.0,$726–$1584,photography; relaxation; nightlife
Rio de Janeiro,Brazil,Africa,beach,Hot,June,Copacabana; Rio de Janeiro Landmark 1; Sugarloaf Mountain; Christ the Redeemer; Rio de Janeiro Landmark 2,Feijoada,Savory,Hotel Fasano,5,160,WiFi; Beach Access; Airport Shuttle,Humid,26.4,$880–$1920,water-sports; hiking
London,United Kingdom,Europe,city,Moderate,May,London Landmark 1; Buckingham Palace; Tower of London; London Landmark 2; British Museum,Fish and Chips,Savory,The Savoy,4,365,Conference Rooms; Spa; Beach Access; Pool; WiFi; Restaurant,Snowy,10.0,$1204–$2628,spirituality; water-sports; historic tours; photography
Banff,Canada,North America,mountain,Cold,Summer,Moraine Lake; Lake Louise; Banff Gondola; Banff Landmark 2; Banff Landmark 1,Canadian Pancakes,Sweet,Fairmont Banff Springs,4,347,Pet Friendly; Beach Access; Conference Rooms; Pool; Restaurant; Bar,Rainy,-2.3,$3053–$6662,skiing; food; historic tours; culture
Udaipur,India,South Asia,heritage,Moderate,November,City Palace Udaipur; Jagdish Temple; Udaipur Landmark 2; Udaipur Landmark 1; Lake Pichola,Laal Maas,Spicy,Trident Udaipur,5,193,Beach Access; Gym; Bar; Pet Friendly; Spa,Snowy,35.4,$849–$1852,photography; adventure
Pondicherry,India,South Asia,beach,Moderate,Winter,French Quarter; Auroville; Pondicherry Landmark 2; Promenade Beach; Pondicherry Landmark 1,Seafood Thali,Savory,Palais de Mahe,4,69,Bar; Airport Shuttle; Restaurant; Gym; Breakfast Included; Pool; Conference Rooms,Snowy,30.3,$683–$1490,wildlife; spirituality
Buenos Aires,Argentina,South America,city,Moderate,Spring,Plaza de Mayo; La Boca; Buenos Aires Landmark 1; Buenos Aires Landmark 2; Recoleta,Asado,Savory,Faena Hotel,5,125,Spa; WiFi; Conference Rooms; Parking; Airport Shuttle; Kids Club; Bar,Snowy,15.8,$550–$1200,historic tours; photography; water-sports
Rishikesh,India,South Asia,spiritual,Moderate,Summer,Beatles Ashram; Rishikesh Landmark 1; Laxman Jhula; Triveni Ghat; Rishikesh Landmark 2,Aloo Puri,Savory,Ganga Kinare,4,66,Conference Rooms; Restaurant; Pet Friendly; WiFi; Breakfast Included; Parking; Pool,Snowy,21.9,$363–$792,spirituality; nightlife; wildlife
Santorini,Greece,Europe,island,Moderate,September,Oia; Fira; Santorini Landmark 2; Santorini Landmark 1; Red Beach,Tomatokeftedes,Savory,Mystique,3,223,Conference Rooms; Restaurant; Kids Club; Airport Shuttle,Windy,17.2,$1962–$4281,nightlife
Leh-Ladakh,India,South Asia,mountain,Cold,June,Leh-Ladakh Landmark 2; Nubra Valley; Thiksey Monastery; Pangong Lake; Leh-Ladakh Landmark 1,Tibetan Thenthuk,Savory,Ladakh Sarai,4,91,Airport Shuttle; Pet Friendly; Pool; Spa; Restaurant; Breakfast Included,Windy,3.4,$600–$1310,culture
Ahmedabad,India,South Asia,heritage,Hot,June,Sabarmati Ashram; Ahmedabad Landmark 2; Ahmedabad Landmark 1; Akshardham Temple; Adalaj Stepwell,Dhokla,Savory,Fortune Landmark,3,116,Pool; Restaurant; Spa; Kids Club; Airport Shuttle; Beach Access,Sunny,23.8,$1276–$2784,spirituality; wildlife; shopping
Helsinki,Finland,Southeast Asia,city,Cold,March,Suomenlinna; Market Square; Helsinki Landmark 2; Helsinki Landmark 1; Helsinki Cathedral,Salmiakki,Savory,Hotel Kämp,5,180,Kids Club; Spa; Pet Friendly; Conference Rooms,Cold,7.8,$1188–$2592,wildlife; shopping; historic tours
Bangkok,Thailand,Southeast Asia,city,Hot,Winter,Wat Arun; Chatuchak Market; Bangkok Landmark 1; Bangkok Landmark 2; Grand Palace,Pad Thai,Savory,Mandarin Oriental,5,76,Beach Access; Breakfast Included; Airport Shuttle,Windy,31.0,$418–$912,photography; wildlife
Kuala Lumpur,Malaysia,Europe,city,Hot,June,Kuala Lumpur Landmark 1; Batu Caves; Bukit Bintang; Petronas Towers; Kuala Lumpur Landmark 2,Nasi Lemak,Savory,Four Seasons,4,175,Spa; Parking; Bar; Airport Shuttle; Beach Access; Pool,Rainy,31.6,$1540–$3360,historic tours; skiing; food
Lima,Peru,Europe,city,Moderate,March,Lima Landmark 1; Parque Kennedy; Miraflores; Historic Centre; Lima Landmark 2,Ceviche,Savory,Belmond Miraflores,4,243,Airport Shuttle; Kids Club; Parking; Bar; Gym; Restaurant,Rainy,20.3,$801–$1749,skiing; relaxation; water-sports; culture
Jaipur,India,South Asia,heritage,Hot,November,Hawa Mahal; Amber Fort; Jaipur Landmark 2; Jaipur Landmark 1; City Palace,Dal Baati Churma,Savory,Alsisar Haveli,3,128,Pool; Restaurant; Kids Club; WiFi; Parking; Conference Rooms; Pet Friendly,Snowy,34.5,$1408–$3072,spirituality; nightlife; shopping; hiking
Queenstown,New Zealand,Oceania,mountain,Cold,August,Lake Wakatipu; Milford Sound; Queenstown Landmark 1; Bungy Jumping; Queenstown Landmark 2,Lamb Roast,Savory,Matakauri Lodge,4,205,Kids Club; Restaurant; Conference Rooms; Beach Access; Pool; Breakfast Included; Parking,Snowy,6.8,$1578–$3444,hiking; water-sports; historic tours; food
Bangkok,Thailand,Southeast Asia,city,Hot,December,Bangkok Landmark 1; Bangkok Landmark 2; Wat Arun; Chatuchak Market; Grand Palace,Pad Thai,Savory,Shangri-La Bangkok,4,147,Restaurant; Parking; Breakfast Included; Kids Club; Conference Rooms; Pool; Bar,Windy,31.9,$1617–$3528,culture
Kuala Lumpur,Malaysia,Europe,city,Hot,Summer,Petronas Towers; Kuala Lumpur Landmark 2; Kuala Lumpur Landmark 1; Bukit Bintang; Batu Caves,Nasi Lemak,Savory,Four Seasons,5,116,WiFi; Kids Club; Pet Friendly; Restaurant; Breakfast Included; Spa; Gym,Humid,33.7,$1148–$2505,photography; adventure; nightlife
Hanoi,Vietnam,Southeast Asia,city,Moderate,October,Hoan Kiem Lake; Old Quarter; Temple of Literature; Hanoi Landmark 2; Hanoi Landmark 1,Pho,Savory,InterContinental,5,53,Restaurant; Airport Shuttle; WiFi,Humid,20.5,$349–$763,water-sports; spirituality
Mumbai,India,South Asia,city,Hot,Summer,Mumbai Landmark 1; Marine Drive; Elephanta Caves; Mumbai Landmark 2; Gateway of India,Vada Pav,Spicy,The St. Regis,4,117,Pool; Spa; Gym; WiFi; Restaurant,Humid,32.5,$900–$1965,food
Bangkok,Thailand,Southeast Asia,city,Hot,November,Grand Palace; Wat Arun; Bangkok Landmark 1; Chatuchak Market; Bangkok Landmark 2,Pad Thai,Savory,Mandarin Oriental,5,167,Pool; Spa; Beach Access; WiFi; Airport Shuttle; Parking,Snowy,37.9,$734–$1603,wildlife; nightlife; photography
Amsterdam,Netherlands,Europe,city,Moderate,September,Amsterdam Landmark 1; Amsterdam Landmark 2; Van Gogh Museum; Canals; Rijksmuseum,Stroopwafel,Sweet,Ambassade Hotel,5,136,Conference Rooms; Pool; Restaurant; Spa; Parking; WiFi; Kids Club,Rainy,12.2,$598–$1305,culture; adventure
Mumbai,India,South Asia,city,Hot,Monsoon,Mumbai Landmark 2; Marine Drive; Gateway of India; Elephanta Caves; Mumbai Landmark 1,Vada Pav,Spicy,The Taj Mahal Palace,5,130,Bar; Breakfast Included; Conference Rooms; Pool,Snowy,33.1,$1287–$2808,skiing; photography; hiking; wildlife
Amsterdam,Netherlands,Europe,city,Moderate,September,Amsterdam Landmark 2; Rijksmuseum; Canals; Amsterdam Landmark 1; Van Gogh Museum,Stroopwafel,Sweet,Pulitzer Amsterdam,4,80,Gym; WiFi; Breakfast Included; Spa; Beach Access; Restaurant,Snowy,5.6,$616–$1344,wildlife; nightlife; photography; food
Cairo,Egypt,Africa,heritage,Hot,October,Egyptian Museum; Cairo Landmark 2; Pyramids of Giza; Khan el-Khalili; Cairo Landmark 1,Koshari,Savory,Marriott Mena House,5,158,Pet Friendly; Gym; Restaurant; Parking; Pool; WiFi,Snowy,31.1,$1216–$2654,hiking; food; wildlife; spirituality
Sydney,Australia,Oceania,city,Moderate,September,Sydney Opera House; Harbour Bridge; Sydney Landmark 2; Bondi Beach; Sydney Landmark 1,Meat Pie,Savory,Park Hyatt Sydney,4,224,Restaurant; Kids Club; Bar; Spa; Pet Friendly,Rainy,26.2,$2217–$4838,spirituality; water-sports; culture
Oslo,Norway,Other,city,Cold,Monsoon,Oslo Opera House; Akershus Fortress; Oslo Landmark 1; Vigeland Park; Oslo Landmark 2,Fårikål,Savory,The Thief,3,88,Gym; WiFi; Restaurant; Conference Rooms; Parking,Windy,33.9,$387–$844,spirituality; culture; relaxation
Bali (Ubud),Indonesia,Other,island,Hot,Autumn,Monkey Forest; Bali (Ubud) Landmark 2; Bali (Ubud) Landmark 1; Tegalalang Rice Terrace; Ubud Rice Terraces,Bebek Betutu,Savory,Alila Ubud,4,146,Beach Access; Bar; Parking; Conference Rooms; Spa; Airport Shuttle,Humid,17.8,$1124–$2452,adventure; food; photography; skiing
Udaipur,India,South Asia,heritage,Moderate,October,Lake Pichola; Udaipur Landmark 1; City Palace Udaipur; Udaipur Landmark 2; Jagdish Temple,Laal Maas,Spicy,The Leela Palace Udaipur,4,93,Restaurant; Kids Club; Beach Access; WiFi; Conference Rooms,Sunny,32.4,$306–$669,skiing; relaxation; culture
Marrakech,Morocco,Africa,heritage,Hot,April,Marrakech Landmark 2; Bahia Palace; Majorelle Garden; Jemaa el-Fnaa; Marrakech Landmark 1,Tagine,Savory,Royal Mansour,3,225,Spa; Parking; Gym; Pool; Conference Rooms; Restaurant,Humid,24.8,$990–$2160,nightlife; spirituality; historic tours
Paris,France,Europe,city,Moderate,Monsoon,Paris Landmark 2; Notre-Dame; Paris Landmark 1; Louvre Museum; Eiffel Tower,Croissant,Sweet,Hotel Lutetia,4,225,Kids Club; Parking; Restaurant,Windy,9.2,$2475–$5400,shopping
Hyderabad,India,South Asia,city,Hot,February,Hyderabad Landmark 1; Hyderabad Landmark 2; Ramoji Film City; Charminar; Hussain Sagar,Biryani,Savory,ITC Kakatiya,3,103,Airport Shuttle; Kids Club; Parking; Restaurant; Gym,Hot,28.4,$679–$1483,shopping; food
Ahmedabad,India,South Asia,heritage,Hot,May,Adalaj Stepwell; Sabarmati Ashram; Ahmedabad Landmark 2; Akshardham Temple; Ahmedabad Landmark 1,Dhokla,Savory,Fortune Landmark,5,122,WiFi; Conference Rooms; Spa; Beach Access; Restaurant,Humid,28.1,$1073–$2342,nightlife; hiking; photography
Mexico City,Mexico,South America,city,Moderate,Summer,Zocalo; Frida Kahlo Museum; Chapultepec Park; Mexico City Landmark 1; Mexico City Landmark 2,Tacos al Pastor,Spicy,Camino Real,5,194,Conference Rooms; Breakfast Included; Pool; Restaurant; Parking; Spa,Moderate,13.5,$1920–$4190,photography
Prague,Czech Republic,Europe,heritage,Moderate,Winter,Charles Bridge; Prague Landmark 2; Prague Castle; Old Town Square; Prague Landmark 1,Trdelnik,Sweet,Four Seasons Prague,3,65,Airport Shuttle; Conference Rooms; WiFi; Kids Club; Restaurant; Parking; Gym,Sunny,5.1,$500–$1092,food
Santiago,Chile,Europe,city,Moderate,May,Santiago Landmark 2; The Andes; Plaza de Armas; Cerro San Cristobal; Santiago Landmark 1,Empanadas,Savory,W Santiago,4,225,Beach Access; Gym; Breakfast Included; Parking,Windy,19.7,$1980–$4320,historic tours; relaxation; hiking; culture
Miami,USA,Oceania/Americas,beach,Hot,December,Miami Landmark 1; Art Deco District; Miami Landmark 2; South Beach; Everglades,Cuban Sandwich,Savory,Fontainebleau,4,141,WiFi; Bar; Airport Shuttle,Snowy,22.0,$930–$2030,shopping; hiking
Santiago,Chile,Europe,city,Moderate,September,Santiago Landmark 2; The Andes; Cerro San Cristobal; Plaza de Armas; Santiago Landmark 1,Empanadas,Savory,The Ritz-Carlton Santiago,4,117,Pet Friendly; Parking; WiFi; Bar; Beach Access,Humid,15.0,$1287–$2808,culture; water-sports; skiing
Buenos Aires,Argentina,South America,city,Moderate,Spring,Recoleta; La Boca; Plaza de Mayo; Buenos Aires Landmark 1; Buenos Aires Landmark 2,Asado,Savory,Alvear Palace,4,105,Breakfast Included; WiFi; Beach Access; Airport Shuttle; Parking,Rainy,25.8,$462–$1008,hiking
Rio de Janeiro,Brazil,Africa,beach,Hot,September,Rio de Janeiro Landmark 1; Copacabana; Sugarloaf Mountain; Rio de Janeiro Landmark 2; Christ the Redeemer,Feijoada,Savory,Hotel Fasano,4,125,Spa; Beach Access; Pet Friendly,Sunny,32.0,$1237–$2700,skiing; adventure
Paris,France,Europe,city,Moderate,April,Notre-Dame; Paris Landmark 1; Louvre Museum; Eiffel Tower; Paris Landmark 2,Croissant,Sweet,Hotel Lutetia,4,416,Breakfast Included; Airport Shuttle; Bar; Restaurant; Pool; Pet Friendly; WiFi,Snowy,11.1,$1372–$2995,wildlife; relaxation; hiking; historic tours
Marrakech,Morocco,Africa,heritage,Hot,Autumn,Marrakech Landmark 2; Marrakech Landmark 1; Jemaa el-Fnaa; Bahia Palace; Majorelle Garden,Tagine,Savory,La Mamounia,5,205,Pool; WiFi; Parking; Conference Rooms; Kids Club; Bar,Rainy,29.2,$1353–$2952,culture; nightlife
Paris,France,Europe,city,Moderate,Monsoon,Paris Landmark 1; Louvre Museum; Notre-Dame; Paris Landmark 2; Eiffel Tower,Croissant,Sweet,Le Meurice,4,365,Breakfast Included; Conference Rooms; Gym; Spa; Bar; Pool,Windy,8.3,$2409–$5256,relaxation; photography; food; wildlife
Lisbon,Portugal,South America,city,Moderate,June,Alfama; Lisbon Landmark 2; Jerónimos Monastery; Belém Tower; Lisbon Landmark 1,Pastel de Nata,Sweet,Pestana Palace,4,281,Gym; Breakfast Included; Restaurant,Sunny,16.6,$927–$2023,photography; skiing
Bali,Indonesia,East Asia,island,Hot,September,Ubud Rice Terraces; Uluwatu Temple; Bali Landmark 1; Seminyak Beach; Bali Landmark 2,Nasi Goreng,Savory,The Legian,3,246,WiFi; Conference Rooms; Gym; Parking; Bar; Kids Club,Rainy,30.7,$2435–$5313,shopping
Hanoi,Vietnam,Southeast Asia,city,Moderate,November,Old Quarter; Hanoi Landmark 2; Hoan Kiem Lake; Hanoi Landmark 1; Temple of Literature,Pho,Savory,InterContinental,4,96,Bar; Gym; Restaurant,Rainy,19.0,$950–$2073,food; water-sports
Bali,Indonesia,East Asia,island,Hot,September,Ubud Rice Terraces; Bali Landmark 1; Uluwatu Temple; Seminyak Beach; Bali Landmark 2,Nasi Goreng,Savory,The Legian,4,193,Gym; Pet Friendly; Airport Shuttle; Restaurant,Snowy,21.1,$1910–$4168,photography
Tokyo,Japan,East Asia,city,Moderate,Autumn,Sensoji Temple; Tokyo Landmark 1; Tokyo Tower; Shibuya Crossing; Tokyo Landmark 2,Sushi,Savory,Park Hyatt Tokyo,3,173,Spa; Parking; WiFi; Breakfast Included; Beach Access; Bar; Kids Club,Humid,15.5,$761–$1660,historic tours
Ahmedabad,India,South Asia,heritage,Hot,Winter,Ahmedabad Landmark 1; Adalaj Stepwell; Akshardham Temple; Ahmedabad Landmark 2; Sabarmati Ashram,Dhokla,Savory,Fortune Landmark,4,106,Airport Shuttle; Spa; Pet Friendly; Gym; Bar; Restaurant,Windy,27.0,$1049–$2289,spirituality; photography
Shimla,India,South Asia,mountain,Cold,October,Jakhoo Temple; Shimla Landmark 1; Mall Road; Shimla Landmark 2; Christ Church,Channa Madra,Savory,Hotel Willow Banks Shimla,4,94,Bar; Airport Shuttle; Breakfast Included; Beach Access; Spa; Restaurant; Kids Club,Humid,21.5,$827–$1804,spirituality; food; historic tours
Coorg,India,Europe,forest,Moderate,Monsoon,Coorg Landmark 2; Raja's Seat; Abbey Falls; Dubare Elephant Camp; Coorg Landmark 1,Pandi Curry,Savory,Coorg Hills Retreat,3,123,Kids Club; Restaurant; Spa; Airport Shuttle,Sunny,18.9,$1217–$2656,historic tours
Cape Town,South Africa,Africa,city,Moderate,November,Table Mountain; Robben Island; Cape Town Landmark 2; Cape Town Landmark 1; V&A Waterfront,Bobotie,Savory,One&Only Cape Town,4,356,Conference Rooms; Parking; Kids Club; Bar,Snowy,25.0,$2741–$5980,wildlife; water-sports; skiing; photography
Shimla,India,South Asia,mountain,Cold,February,Shimla Landmark 1; Jakhoo Temple; Mall Road; Shimla Landmark 2; Christ Church,Channa Madra,Savory,The Oberoi Cecil,3,53,Breakfast Included; WiFi; Gym; Restaurant,Windy,22.9,$233–$508,wildlife
Oslo,Norway,Other,city,Cold,January,Vigeland Park; Akershus Fortress; Oslo Landmark 2; Oslo Landmark 1; Oslo Opera House,Fårikål,Savory,The Thief,4,157,Parking; Gym; WiFi; Spa; Conference Rooms; Bar; Pet Friendly,Sunny,25.8,$1554–$3391,relaxation; water-sports
Santorini,Greece,Europe,island,Moderate,May,Santorini Landmark 1; Santorini Landmark 2; Oia; Fira; Red Beach,Tomatokeftedes,Savory,Canaves Oia,3,212,Spa; Pool; Parking; Breakfast Included; Pet Friendly; Gym; Beach Access,Windy,17.1,$1166–$2544,hiking; spirituality; nightlife
Leh-Ladakh,India,South Asia,mountain,Cold,Spring,Nubra Valley; Leh-Ladakh Landmark 2; Pangong Lake; Thiksey Monastery; Leh-Ladakh Landmark 1,Tibetan Thenthuk,Savory,The Grand Dragon,4,128,Breakfast Included; Conference Rooms; Gym; Airport Shuttle; Bar,Sunny,5.7,$985–$2150,adventure
Bangkok,Thailand,Southeast Asia,city,Hot,Winter,Bangkok Landmark 2; Grand Palace; Wat Arun; Bangkok Landmark 1; Chatuchak Market,Pad Thai,Savory,Shangri-La Bangkok,5,195,Kids Club; Breakfast Included; Gym; Pet Friendly,Sunny,30.0,$1072–$2340,spirituality; adventure; photography; historic tours
Leh-Ladakh,India,South Asia,mountain,Cold,Spring,Leh-Ladakh Landmark 1; Nubra Valley; Pangong Lake; Leh-Ladakh Landmark 2; Thiksey Monastery,Tibetan Thenthuk,Savory,Ladakh Sarai,4,72,Breakfast Included; Conference Rooms; Gym; Kids Club; Pet Friendly; Beach Access,Sunny,5.3,$633–$1382,culture; adventure; wildlife
Varanasi,India,South Asia,spiritual,Moderate,February,Sarnath; Dashashwamedh Ghat; Varanasi Landmark 2; Kashi Vishwanath; Varanasi Landmark 1,Kachori Sabzi,Spicy,Hotel Ganges View,4,94,Spa; Conference Rooms; Pet Friendly; Restaurant; Gym,Snowy,22.6,$723–$1579,shopping; food; adventure
Kolkata,India,South Asia,city,Moderate,February,Kolkata Landmark 2; Victoria Memorial; Dakshineswar; Howrah Bridge; Kolkata Landmark 1,Macher Jhol,Savory,The Oberoi Grand,3,88,Bar; Conference Rooms; Restaurant,Humid,25.6,$774–$1689,water-sports; food; culture; nightlife
Bangkok,Thailand,Southeast Asia,city,Hot,January,Grand Palace; Bangkok Landmark 1; Bangkok Landmark 2; Chatuchak Market; Wat Arun,Pad Thai,Savory,Shangri-La Bangkok,3,102,Bar; Spa; Breakfast Included; Conference Rooms; WiFi,Windy,29.7,$785–$1713,spirituality; culture; adventure
Barcelona,Spain,Europe,city,Moderate,May,Barcelona Landmark 1; Park Güell; Barcelona Landmark 2; La Rambla; Sagrada Familia,Paella,Savory,W Barcelona,4,297,Gym; Bar; Pet Friendly; Restaurant; Beach Access; WiFi; Spa,Sunny,28.3,$2613–$5702,spirituality; historic tours
Leh-Ladakh,India,South Asia,mountain,Cold,June,Leh-Ladakh Landmark 1; Thiksey Monastery; Nubra Valley; Leh-Ladakh Landmark 2; Pangong Lake,Tibetan Thenthuk,Savory,The Grand Dragon,4,104,Beach Access; Parking; Kids Club; Restaurant,Sunny,5.6,$1029–$2246,nightlife; skiing; wildlife; culture
Leh-Ladakh,India,South Asia,mountain,Cold,July,Leh-Ladakh Landmark 1; Nubra Valley; Pangong Lake; Leh-Ladakh Landmark 2; Thiksey Monastery,Tibetan Thenthuk,Savory,Ladakh Sarai,5,142,Pet Friendly; WiFi; Conference Rooms; Spa,Snowy,7.8,$1249–$2726,food; hiking; adventure; water-sports
Tokyo,Japan,East Asia,city,Moderate,Monsoon,Tokyo Landmark 1; Sensoji Temple; Tokyo Tower; Tokyo Landmark 2; Shibuya Crossing,Sushi,Savory,The Peninsula,4,297,Spa; Airport Shuttle; Kids Club; Conference Rooms,Rainy,17.4,$1306–$2851,spirituality; relaxation; adventure
Mexico City,Mexico,South America,city,Moderate,Spring,Mexico City Landmark 2; Mexico City Landmark 1; Frida Kahlo Museum; Chapultepec Park; Zocalo,Tacos al Pastor,Spicy,Camino Real,4,169,Breakfast Included; Bar; Spa; Gym; Conference Rooms; Airport Shuttle,Rainy,20.3,$1301–$2839,spirituality; historic tours
Santiago,Chile,Europe,city,Moderate,Autumn,Plaza de Armas; Santiago Landmark 2; Cerro San Cristobal; Santiago Landmark 1; The Andes,Empanadas,Savory,The Ritz-Carlton Santiago,5,233,Restaurant; Parking; Bar; Kids Club; Pool,Humid,14.3,$1537–$3355,photography; food; relaxation; shopping
Cape Town,South Africa,Africa,city,Moderate,December,Robben Island; Table Mountain; V&A Waterfront; Cape Town Landmark 1; Cape Town Landmark 2,Bobotie,Savory,One&Only Cape Town,4,359,Pool; Kids Club; Conference Rooms; Spa; Bar; Breakfast Included,Windy,14.1,$1184–$2584,food; skiing
London,United Kingdom,Europe,city,Moderate,May,London Landmark 2; British Museum; Buckingham Palace; London Landmark 1; Tower of London,Fish and Chips,Savory,The Savoy,4,467,Breakfast Included; Spa; Kids Club; Pool; Bar,Humid,10.1,$2568–$5604,water-sports; spirituality; culture; adventure
Prague,Czech Republic,Europe,heritage,Moderate,September,Old Town Square; Prague Landmark 1; Charles Bridge; Prague Castle; Prague Landmark 2,Trdelnik,Sweet,Four Seasons Prague,3,86,Conference Rooms; Airport Shuttle; Beach Access; Bar; Parking,Windy,16.2,$567–$1238,skiing; hiking; culture; nightlife
Amsterdam,Netherlands,Europe,city,Moderate,September,Amsterdam Landmark 2; Rijksmuseum; Van Gogh Museum; Canals; Amsterdam Landmark 1,Stroopwafel,Sweet,Pulitzer Amsterdam,3,119,Spa; Bar; Parking; Airport Shuttle; Pool,Snowy,10.4,$1047–$2284,water-sports
Santorini,Greece,Europe,island,Moderate,Autumn,Santorini Landmark 2; Fira; Santorini Landmark 1; Oia; Red Beach,Tomatokeftedes,Savory,Grace Hotel,5,247,Conference Rooms; Beach Access; Kids Club; Restaurant; Pet Friendly; Bar; WiFi,Sunny,21.4,$1630–$3556,culture; adventure; wildlife; nightlife
Coorg,India,Europe,forest,Moderate,February,Coorg Landmark 1; Abbey Falls; Dubare Elephant Camp; Coorg Landmark 2; Raja's Seat,Pandi Curry,Savory,Coorg Hills Retreat,4,51,Airport Shuttle; Beach Access; Conference Rooms; Parking; Bar; Pet Friendly; Gym,Sunny,27.2,$336–$734,nightlife; hiking; shopping; wildlife
Tokyo,Japan,East Asia,city,Moderate,April,Tokyo Landmark 2; Shibuya Crossing; Sensoji Temple; Tokyo Tower; Tokyo Landmark 1,Sushi,Savory,Park Hyatt Tokyo,4,219,Breakfast Included; Pool; Spa; Kids Club; WiFi; Conference Rooms,Snowy,9.4,$1204–$2628,photography; wildlife; nightlife
Bali,Indonesia,East Asia,island,Hot,Autumn,Bali Landmark 2; Ubud Rice Terraces; Seminyak Beach; Bali Landmark 1; Uluwatu Temple,Nasi Goreng,Savory,The Legian,4,87,Gym; Airport Shuttle; Pool; Beach Access; Pet Friendly,Rainy,27.8,$574–$1252,historic tours; relaxation; food
Kolkata,India,South Asia,city,Moderate,October,Kolkata Landmark 2; Victoria Memorial; Howrah Bridge; Kolkata Landmark 1; Dakshineswar,Macher Jhol,Savory,The Oberoi Grand,3,72,Pool; Airport Shuttle; Spa,Windy,21.8,$316–$691,spirituality
Zurich,Switzerland,Europe,city,Cold,Monsoon,Zurich Landmark 1; Uetliberg; Old Town; Lake Zurich; Zurich Landmark 2,Fondue,Savory,Park Hyatt Zurich,3,429,Gym; Airport Shuttle; Parking; Spa; Beach Access; Bar; Pet Friendly,Snowy,12.9,$1415–$3088,photography
Tokyo,Japan,East Asia,city,Moderate,October,Shibuya Crossing; Tokyo Landmark 2; Sensoji Temple; Tokyo Landmark 1; Tokyo Tower,Sushi,Savory,Mandarin Oriental,4,356,Pet Friendly; Breakfast Included; Restaurant; Beach Access; Bar; Spa,Sunny,14.6,$2349–$5126,culture; food; nightlife
Lisbon,Portugal,South America,city,Moderate,September,Alfama; Belém Tower; Jerónimos Monastery; Lisbon Landmark 2; Lisbon Landmark 1,Pastel de Nata,Sweet,Pestana Palace,5,338,Airport Shuttle; Bar; Restaurant; Breakfast Included; Kids Club,Rainy,11.5,$1115–$2433,skiing
